"","BR","CN","DU","EL","HB","HN","KN","MB","MN","NK","PA","PE","RB","RN","SM","SN","SY","TB"
"OTU_14088",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1409",0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_14093",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1410",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,12
"OTU_1422",0,37,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,12
"OTU_1437",0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1441",0,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_146",0,219,0,0,0,0,6,57,30,6,0,276,0,0,0,0,0,0
"OTU_14651",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1478",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0
"OTU_1487",0,0,5,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0
"OTU_1492",0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_15",1057,34,0,270,13,37,726,277,163,684,313,597,21,99,37,106,184,64
"OTU_1518",0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1525",0,0,0,0,0,1,4,9,17,2,0,0,2,0,0,0,0,0
"OTU_1545",0,0,0,0,0,0,0,3,9,0,0,0,0,0,1,1,2,0
"OTU_1576",0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0
"OTU_1584",0,3,0,0,0,0,0,16,1,1,0,0,14,0,0,0,0,0
"OTU_1589",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,35
"OTU_1601",0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0
"OTU_1604",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,48
"OTU_1608",1,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0
"OTU_1618",0,23,0,0,0,0,0,3,5,0,0,2,0,0,0,0,0,0
"OTU_1623",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0
"OTU_1634",0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
"OTU_1641",0,0,0,0,0,0,0,3,30,0,0,0,0,0,0,0,0,0
"OTU_16444",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1666",21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"OTU_1680",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"OTU_1699",0,13,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0
"OTU_17",0,0,0,0,9,9,0,5,2,0,0,0,0,0,392,268,294,121
"OTU_171",0,0,0,0,0,0,0,0,557,0,0,0,0,0,0,0,0,0
"OTU_1713",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
"OTU_1759",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,5
"OTU_177",14,67,27,4,0,0,0,0,28,4,261,16,2,227,0,0,0,0
"OTU_1774",0,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_178",0,0,0,0,0,0,0,0,0,0,0,0,414,11,0,0,0,0
"OTU_1792",0,0,0,0,0,1,0,14,9,1,0,0,0,0,0,0,0,0
"OTU_182",0,0,0,0,33,20,0,119,70,3,0,0,0,0,20,7,17,0
"OTU_1849",0,0,4,0,0,0,0,0,0,0,0,0,6,12,0,0,0,0
"OTU_1856",0,0,0,9,0,0,13,0,0,6,0,0,0,0,0,0,0,0
"OTU_1859",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0
"OTU_1865",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1867",0,0,4,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
"OTU_1872",0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"OTU_1883",0,0,0,0,4,3,0,0,19,0,0,0,0,0,0,0,0,0
"OTU_189",168,0,0,59,0,0,0,0,7,6,0,86,7,16,0,0,0,0
"OTU_1899",0,22,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0
"OTU_1912",0,0,1,0,0,0,0,0,0,0,0,0,8,27,0,0,0,0
"OTU_1916",0,27,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0
"OTU_193",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,545
"OTU_1932",0,0,0,0,1,2,0,9,7,0,0,0,0,0,0,0,0,0
"OTU_1961",0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0
"OTU_1970",0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
"OTU_1987",0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,2,0,0
"OTU_2003",0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
"OTU_2036",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_2042",0,0,5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
"OTU_2045",0,0,0,0,1,1,0,3,0,0,0,0,0,0,1,1,1,0
"OTU_2048",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_2050",0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_2058",0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
"OTU_2062",0,0,1,0,0,0,0,3,0,0,0,4,2,0,0,1,0,4
"OTU_2071",0,0,1,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0
"OTU_2076",0,0,0,0,1,2,0,2,9,0,0,0,0,0,1,0,0,0
"OTU_2083",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0
"OTU_2086",0,0,0,0,0,2,0,9,5,0,0,0,0,0,0,0,0,0
"OTU_2090",0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0
"OTU_2093",0,5,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0
"OTU_210",14,444,0,0,0,1,2,6,5,5,191,7,0,0,0,0,0,0
"OTU_2100",0,0,2,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
"OTU_2102",0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
"OTU_2110",5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"OTU_2113",0,0,0,0,0,2,9,0,5,2,0,0,0,0,0,0,0,0
"OTU_2143",0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
"OTU_2185",0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_2207",0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0
"OTU_223",0,8,0,0,28,31,0,2,0,2,3,8,0,0,16,35,2,35
"OTU_2256",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2
"OTU_2262",0,0,0,0,0,0,0,0,8,4,0,3,0,0,0,0,0,0
"OTU_2265",0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0
"OTU_2283",0,0,4,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0
"OTU_2290",0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0
"OTU_2294",0,0,0,9,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"OTU_2304",0,0,0,0,1,1,0,2,3,0,0,0,0,0,0,0,0,6
"OTU_2307",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
