"","BR1","BR2","BR3","CN1","CN2","CN3","DU1","DU2","DU3","EL1","EL2","EL3","HB1","HB2","HB3","HN1","HN2","HN3","KN1","KN2","KN3","MB1","MB2","MB3","MN1","MN2","MN3","NK1","NK2","NK3","PA1","PA2","PA3","PE1","PE2","PE3","RB1","RB2","RB3","RN1","RN2","RN3","SM1","SM2","SM3","SN1","SN2","SN3","SY1","SY2","SY3","TB1","TB2","TB3"
"OTU_2527",0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,34,67,33,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_2528",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,5,39,12,13,0,4,6,9,3,3
"OTU_2529",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,25,18,0,35,29,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_253",84,0,36,89,53,45,0,0,0,0,0,0,110,152,132,227,177,117,252,241,362,496,475,480,521,477,291,157,121,209,0,0,0,302,390,357,64,56,48,0,0,0,57,54,0,54,72,45,0,83,69,0,0,0
"OTU_2531",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,24,0,38,44,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_2532",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,38,32,0,0,0,0,13,0,0,0,0
"OTU_2533",0,0,0,51,46,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_2534",0,0,0,27,23,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,16,33,17,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_2539",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,32,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
"OTU_254",0,0,0,0,0,0,0,0,0,0,0,0,108,167,193,1475,892,632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1702,1313,747,0,22,17,0,0,0,15,14,7
