"","BR","CN","DU","EL","HB","HN","KN","MB","MN","NK","PA","PE","RB","RN","SM","SN","SY","TB"
"OTU_1031",0,0,0,0,0,0,22,0,0,64,0,0,0,0,0,0,0,0
"OTU_10316",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1032",0,18,0,0,8,0,0,16,34,0,0,149,0,0,0,0,0,0
"OTU_1033",0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10330",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10331",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1035",0,0,0,0,0,0,0,156,0,0,0,0,0,0,332,0,0,0
"OTU_1036",4,0,11,103,0,0,0,0,0,0,0,0,15,42,0,0,0,0
"OTU_104",158,0,30,2080,0,0,0,0,0,0,52,0,149,249,0,0,0,0
"OTU_10401",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10404",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10406",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"OTU_10407",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10408",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1041",0,19,0,0,5,13,41,10,45,13,0,0,0,0,8,2,8,0
"OTU_10417",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1043",0,15,0,0,0,0,0,0,0,0,0,0,0,0,207,0,0,0
"OTU_10436",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1044",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0
"OTU_1045",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0
"OTU_10454",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10459",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"OTU_10465",0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
"OTU_10466",0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
"OTU_10467",0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
"OTU_1047",0,0,0,0,17,28,0,15,21,17,0,0,0,0,0,8,0,12
"OTU_10478",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"OTU_1048",0,0,0,0,0,0,66,0,0,69,39,0,0,0,0,0,0,0
"OTU_1049",14,0,15,187,0,0,0,0,0,0,0,0,37,56,0,0,0,0
"OTU_105",0,0,0,0,2077,0,39,0,0,0,0,0,0,0,0,0,121,37
"OTU_1050",55,0,0,0,0,0,37,0,0,45,0,0,0,0,0,0,0,0
"OTU_10507",0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
"OTU_10510",0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
"OTU_10512",0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"OTU_10513",0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
"OTU_10515",0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
"OTU_10516",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"OTU_10517",0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
"OTU_10518",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"OTU_10519",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"OTU_10527",0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
"OTU_10528",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"OTU_10530",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"OTU_10533",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"OTU_1054",0,17,0,0,0,5,7,39,10,5,0,9,0,0,27,25,0,0
"OTU_10543",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"OTU_10545",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
"OTU_10546",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"OTU_10547",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"OTU_10549",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"OTU_10552",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"OTU_1058",0,0,0,0,0,0,4,0,0,76,0,0,0,0,0,0,0,0
"OTU_10582",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10583",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10584",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1059",0,3,0,0,22,16,0,72,18,5,0,0,0,0,10,0,13,0
"OTU_106",0,270,0,0,0,0,0,0,3753,0,0,0,0,0,0,0,0,0
"OTU_1060",0,0,0,0,6,23,0,0,0,0,0,0,0,0,38,21,23,0
"OTU_1061",0,0,0,141,0,0,0,0,0,0,0,0,67,0,0,0,0,0
"OTU_10610",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1063",0,23,0,0,0,0,0,13,4,0,0,134,0,0,0,0,5,0
"OTU_10637",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"OTU_1064",0,0,0,0,0,0,0,0,0,0,0,229,0,0,0,0,0,0
"OTU_1065",0,38,0,0,0,0,0,39,44,2,0,77,0,0,0,0,0,0
"OTU_1066",0,0,0,0,46,43,0,0,0,0,0,0,0,0,0,0,0,46
"OTU_1067",36,0,0,0,0,0,0,0,0,0,72,0,0,46,0,0,0,0
"OTU_10674",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"OTU_1068",0,0,0,0,0,0,0,0,0,0,0,0,182,0,0,0,0,0
"OTU_1069",0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,20,16,0
"OTU_10694",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10698",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_107",0,0,0,0,1166,341,0,0,0,0,0,0,0,0,0,0,0,253
"OTU_10705",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"OTU_10709",0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
"OTU_10713",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"OTU_10721",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"OTU_10734",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"OTU_10737",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"OTU_10741",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"OTU_10742",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"OTU_1075",0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0
"OTU_1076",0,0,0,0,0,0,0,73,47,7,0,70,0,0,0,0,0,0
"OTU_1077",0,0,52,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0
"OTU_10777",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"OTU_10778",0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"OTU_10779",0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"OTU_1078",0,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10780",0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"OTU_1079",0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10791",0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
"OTU_10792",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"OTU_10798",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"OTU_108",1876,0,126,11,0,0,0,0,0,0,0,0,7,3,0,0,0,0
"OTU_10801",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"OTU_10808",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
"OTU_10809",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"OTU_1081",0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0
"OTU_10811",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"OTU_10815",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"OTU_10816",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"OTU_10818",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"OTU_10819",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"OTU_10821",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"OTU_1083",0,0,0,0,0,0,0,0,202,0,0,0,0,0,0,0,0,0
"OTU_1084",0,0,0,0,0,0,58,0,0,0,0,0,0,0,112,0,37,0
"OTU_10850",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"OTU_10852",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10853",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10855",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1087",0,0,0,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0
"OTU_10879",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1088",0,0,40,43,0,5,4,7,0,0,0,0,0,0,22,23,0,0
"OTU_10880",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_109",1354,0,0,0,0,0,0,0,0,0,450,0,0,262,0,0,0,0
"OTU_1090",0,0,0,0,0,3,0,4,0,0,0,0,0,0,15,12,5,127
"OTU_1091",0,0,0,0,0,0,0,0,0,0,375,0,0,0,0,0,0,0
"OTU_1092",0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0
"OTU_1093",175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1094",13,63,0,0,0,5,0,5,34,1,31,15,0,0,0,0,0,0
"OTU_10948",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10949",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1095",0,12,0,0,0,0,107,3,48,6,0,0,0,0,0,0,0,0
"OTU_10951",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10952",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10953",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10954",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10955",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10958",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"OTU_10960",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"OTU_1097",0,0,0,0,23,32,0,0,33,0,0,0,0,0,0,0,0,0
"OTU_10970",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1098",0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10987",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_11",4291,0,34,315,0,0,4651,0,0,5605,5613,0,187,980,21,35,13,0
"OTU_110",0,12,69,0,0,0,0,0,0,0,0,6,2957,5,0,0,0,0
"OTU_1100",0,12,70,7,0,0,8,12,0,8,0,0,42,5,0,0,0,0
"OTU_11001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"OTU_11020",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"OTU_1103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122
"OTU_1104",0,38,0,0,0,0,0,28,0,25,0,33,0,0,0,0,0,0
"OTU_11045",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"OTU_1105",0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0
"OTU_11053",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"OTU_1108",0,0,0,0,21,11,0,50,55,0,0,0,0,0,0,0,0,0
"OTU_11083",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"OTU_1109",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0
"OTU_11090",0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
"OTU_11091",0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
"OTU_11093",0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"OTU_11095",0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
"OTU_11096",0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
"OTU_111",0,0,230,0,0,0,0,0,0,0,0,0,0,1103,0,0,0,0
"OTU_1110",0,0,0,0,0,17,0,0,19,0,0,0,0,0,0,0,0,0
"OTU_11104",0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
"OTU_11106",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"OTU_1111",0,0,0,39,22,9,13,13,0,0,23,0,0,0,30,2,19,8
"OTU_11110",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"OTU_11125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"OTU_11128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"OTU_11133",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"OTU_1115",0,0,0,0,0,19,0,0,21,0,0,0,0,0,15,14,14,0
"OTU_1116",4,6,0,0,0,6,8,10,5,0,5,0,0,0,31,45,17,0
"OTU_1117",0,0,0,0,26,23,0,61,49,3,0,0,0,0,0,0,0,0
"OTU_1118",0,0,0,0,0,0,0,188,15,6,0,0,0,0,0,0,0,0
"OTU_11189",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_112",0,0,0,2143,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1121",0,0,0,0,0,18,0,33,18,7,0,0,0,0,0,11,0,0
"OTU_1124",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103
"OTU_1125",0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_11257",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_11259",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_11261",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_11262",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_11263",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_11264",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1127",0,0,86,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0
"OTU_1128",0,0,0,0,0,14,8,37,28,3,0,14,13,0,0,0,0,0
"OTU_11287",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"OTU_1129",0,28,0,0,0,0,22,15,38,22,0,9,0,0,0,0,0,0
"OTU_11293",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_11297",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_113",0,476,0,0,82,234,139,422,432,298,0,584,0,0,0,58,0,0
"OTU_1130",0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,35,6,0
"OTU_11314",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_11318",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"OTU_11324",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"OTU_11325",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"OTU_1133",0,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1134",0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,9,17,67
"OTU_1135",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0
"OTU_11350",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"OTU_1136",0,0,0,0,0,0,0,0,0,0,14,0,0,0,213,110,49,0
"OTU_1137",0,260,0,21,0,85,0,0,0,0,0,7,13,0,0,0,0,22
"OTU_1138",0,0,0,0,32,70,0,0,0,0,0,12,0,0,0,0,0,0
"OTU_11384",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"OTU_11385",0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
"OTU_11386",0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"OTU_11388",0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
"OTU_11389",0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"OTU_1139",0,12,0,0,23,56,6,0,0,10,0,0,0,0,0,0,0,0
"OTU_11390",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"OTU_11391",0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
"OTU_11392",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"OTU_114",0,0,0,0,0,0,0,0,1999,0,0,0,0,0,0,0,0,0
"OTU_1140",0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_11407",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"OTU_1141",0,0,0,0,0,0,0,0,0,0,0,205,3,0,0,0,0,0
"OTU_11414",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"OTU_1142",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123
"OTU_11424",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"OTU_11426",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"OTU_1145",0,0,0,0,0,11,0,40,0,0,0,9,0,0,0,0,0,0
"OTU_11463",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_11464",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1148",0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0
"OTU_11489",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1149",0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0
"OTU_115",0,0,0,0,29,278,0,0,0,0,0,0,0,0,47,756,0,0
"OTU_1150",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,29
"OTU_1151",0,0,0,0,0,0,0,0,0,0,228,0,0,0,0,0,0,0
"OTU_1152",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0
"OTU_1153",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125
"OTU_1154",4,24,41,19,0,0,0,0,4,0,22,13,0,1,0,0,0,0
"OTU_1155",14,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1156",0,11,0,0,0,0,43,80,32,35,0,0,0,0,0,0,0,0
"OTU_11563",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_11566",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_11567",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1157",0,0,0,0,0,0,10,0,0,11,150,0,0,0,0,0,0,0
"OTU_11570",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_11572",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1159",0,0,64,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0
"OTU_11595",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"OTU_116",0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1161",0,0,0,0,15,24,0,0,22,7,0,0,0,0,0,8,0,0
"OTU_11611",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_11615",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1162",0,0,4,0,0,0,0,0,0,0,0,0,0,0,22,28,9,18
"OTU_1163",0,0,36,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_11632",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"OTU_11637",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"OTU_11642",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"OTU_1165",0,19,0,0,16,22,0,60,22,0,0,6,0,0,0,0,0,0
