"","BR","CN","DU","EL","HB","HN","KN","MB","MN","NK","PA","PE","RB","RN","SM","SN","SY","TB"
"OTU_1093",32,0,4,3,0,0,0,0,0,7,0,36,5,44,8,0,0,0
"OTU_1094",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0
"OTU_1096",0,0,0,0,12,0,0,0,0,0,0,0,0,0,21,99,0,0
"OTU_1098",0,0,0,0,0,4,17,11,54,0,0,0,0,35,0,0,0,0
"OTU_1099",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83
"OTU_11",0,0,30666,0,0,0,0,0,0,0,0,914,50654,1769,0,0,0,0
"OTU_110",103,0,0,3012,0,0,10,0,14,12,0,45,0,1330,40,11,0,0
"OTU_1100",0,0,0,0,0,0,131,0,12,0,0,0,0,0,0,0,0,0
"OTU_1101",0,0,0,0,15,0,0,0,0,0,0,0,0,0,40,0,0,0
"OTU_1103",0,0,13,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0
"OTU_1104",0,0,0,0,6,0,0,81,68,15,0,0,0,0,0,0,0,0
"OTU_1105",0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0
"OTU_1106",0,0,0,0,0,0,0,99,56,0,0,0,0,0,0,0,0,0
"OTU_1107",0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1108",0,0,0,0,7,0,0,0,0,0,0,0,0,0,25,0,8,54
"OTU_1109",0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0
"OTU_111",0,0,0,0,0,0,0,0,0,0,0,0,0,4224,0,0,0,0
"OTU_1111",0,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1112",0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0
"OTU_1113",0,84,0,0,6,0,0,0,8,0,0,0,0,0,0,0,0,20
"OTU_1114",0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1115",99,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0
"OTU_1116",0,0,0,0,35,12,0,34,0,8,0,0,0,0,0,0,0,24
"OTU_1118",0,87,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,6
