"","BR","CN","DU","EL","HB","HN","KN","MB","MN","NK","PA","PE","RB","RN","SM","SN","SY","TB"
"OTU_1093",30,0,5,3,0,0,0,0,0,6,0,34,5,45,7,0,0,0
"OTU_1094",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0
"OTU_1096",0,0,0,0,12,0,0,0,0,0,0,0,0,0,22,105,0,0
"OTU_1098",0,0,0,0,0,6,16,10,51,0,0,0,0,29,0,0,0,0
"OTU_1099",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
"OTU_11",0,0,30709,0,0,0,0,0,0,0,0,916,50679,1754,0,0,0,0
"OTU_110",100,0,0,3024,0,0,8,0,15,10,0,42,0,1334,37,14,0,0
"OTU_1100",0,0,0,0,0,0,129,0,10,0,0,0,0,0,0,0,0,0
"OTU_1101",0,0,0,0,19,0,0,0,0,0,0,0,0,0,42,0,0,0
"OTU_1103",0,0,12,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0
"OTU_1104",0,0,0,0,8,0,0,84,62,14,0,0,0,0,0,0,0,0
"OTU_1105",0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0
"OTU_1106",0,0,0,0,0,0,0,101,58,0,0,0,0,0,0,0,0,0
"OTU_1107",0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1108",0,0,0,0,5,0,0,0,0,0,0,0,0,0,28,0,9,60
"OTU_1109",0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0
"OTU_111",0,0,0,0,0,0,0,0,0,0,0,0,0,4239,0,0,0,0
"OTU_1111",0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1112",0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0
"OTU_1113",0,79,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,24
"OTU_1114",0,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1115",95,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0
"OTU_1116",0,0,0,0,36,13,0,36,0,8,0,0,0,0,0,0,0,24
"OTU_1118",0,89,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,4
"OTU_1119",0,0,30,15,0,0,0,18,26,0,0,0,10,21,0,0,0,0
"OTU_112",0,0,0,0,25,14,0,0,0,0,0,12,0,0,0,0,9,2514
"OTU_1121",0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1123",0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,51,0
"OTU_1124",0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0
"OTU_1125",16,0,62,35,0,0,0,0,0,0,0,0,0,0,0,0,0,31
"OTU_1126",0,0,96,0,0,0,0,37,0,7,0,0,0,0,0,0,0,0
"OTU_1127",0,0,0,0,40,0,23,0,0,9,0,15,0,0,0,0,0,13
"OTU_1128",0,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_113",0,222,503,13,771,68,221,2268,709,106,0,88,1483,101,916,105,122,0
"OTU_1130",0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0
"OTU_1132",0,15,0,0,0,0,0,60,58,0,0,0,0,0,0,0,0,0
"OTU_1133",0,20,0,3,0,0,0,0,0,0,0,114,0,0,7,0,0,0
"OTU_1136",0,0,0,0,0,10,0,0,0,0,0,0,0,0,135,12,0,0
"OTU_1137",102,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1138",0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0
"OTU_1139",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
"OTU_114",0,21,0,0,70,22,0,0,28,0,0,0,0,0,200,28,29,2272
"OTU_1140",0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,105,0,0
"OTU_1141",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73
"OTU_1142",0,13,0,0,0,0,5,43,16,7,0,44,0,0,0,0,0,0
"OTU_1143",0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1144",0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,64
"OTU_1145",0,12,0,0,0,0,0,0,0,0,0,22,0,0,60,0,22,0
"OTU_1149",86,0,0,0,0,0,0,0,0,0,13,0,0,26,0,0,0,0
"OTU_115",3954,0,0,0,0,0,0,0,0,0,0,0,0,651,0,0,0,0
"OTU_1151",0,0,0,0,0,0,0,66,21,17,0,0,41,0,0,0,0,0
"OTU_1155",0,33,0,0,0,0,0,20,11,8,0,16,0,10,10,0,0,0
"OTU_1157",0,22,0,0,0,0,0,0,48,0,0,42,0,0,0,0,0,0
