"","BR","CN","DU","EL","HB","HN","KN","MB","MN","NK","PA","PE","RB","RN","SM","SN","SY","TB"
"OTU_11762",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"OTU_11768",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"OTU_11769",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"OTU_1177",0,0,0,0,0,0,7,22,5,13,0,0,5,0,9,5,2,0
"OTU_1179",0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0
"OTU_1185",0,13,0,0,8,22,0,0,13,0,0,0,0,0,0,21,0,0
"OTU_119",0,0,0,0,0,0,0,617,707,0,0,0,0,0,0,0,0,0
"OTU_11912",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_11913",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_11916",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1193",0,0,7,0,0,0,0,0,0,0,0,0,51,8,0,0,0,0
"OTU_11939",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1195",0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0
"OTU_1196",0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0
"OTU_1198",83,0,0,0,0,0,0,0,0,0,0,0,10,0,8,4,7,0
"OTU_1199",195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_12031",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_12034",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"OTU_1204",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0
"OTU_12119",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"OTU_12125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"OTU_12129",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"OTU_12134",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"OTU_12180",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"OTU_12214",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1228",0,0,0,0,84,32,0,0,0,0,0,0,0,0,0,0,30,0
"OTU_12284",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1235",0,0,0,0,0,0,0,0,0,0,0,0,37,24,0,0,0,0
"OTU_12407",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"OTU_12408",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"OTU_1246",0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0
"OTU_1248",0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_12498",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"OTU_12519",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"OTU_12524",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"OTU_12552",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"OTU_12741",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_12744",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_12821",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"OTU_1285",0,0,0,0,134,8,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1287",0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0
"OTU_129",0,12,0,0,39,65,12,675,166,37,0,128,0,0,15,4,4,0
"OTU_1290",0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_12924",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"OTU_13",653,561,233,435,54,114,355,295,107,486,881,171,0,0,494,300,191,1860
"OTU_130",0,0,0,0,0,0,305,0,0,483,0,0,0,0,0,0,0,0
"OTU_1302",0,0,4,0,0,0,0,0,0,0,0,0,20,39,0,0,0,0
"OTU_13481",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"OTU_13507",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1354",0,5,12,6,0,0,0,2,0,0,0,0,9,0,5,2,0,0
"OTU_1358",0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0
"OTU_1359",0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0
"OTU_13738",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1374",0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_13843",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"OTU_1388",0,8,0,0,0,2,0,7,0,0,0,0,0,0,0,10,5,0
"OTU_139",0,0,0,0,0,0,0,0,0,0,0,0,0,3629,0,0,0,0
"OTU_13955",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"OTU_1400",0,0,45,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_14084",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_14092",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1419",0,0,0,0,0,0,44,0,0,3,0,0,0,0,0,0,0,0
"OTU_142",0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,815,0,0
"OTU_1423",0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1425",0,0,0,53,0,0,0,7,7,3,0,0,0,0,0,0,0,0
"OTU_1433",0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1436",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,38,0
"OTU_1440",0,0,0,0,0,0,46,5,0,6,25,6,0,0,33,0,5,5
"OTU_1445",0,16,0,0,0,0,0,0,0,0,0,0,0,0,22,45,3,0
"OTU_14467",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1451",0,0,77,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0
"OTU_1454",154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_14553",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"OTU_14555",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"OTU_1456",0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1458",0,0,0,0,0,0,9,0,0,34,0,0,0,0,0,0,0,0
"OTU_14600",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"OTU_14614",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"OTU_1462",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,82
"OTU_1463",0,0,33,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
"OTU_1470",0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0
"OTU_14723",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_149",0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,437,224,0
"OTU_14918",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_14919",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1494",0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0
"OTU_1499",0,0,0,0,232,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_150",0,0,0,0,901,511,0,0,0,0,0,0,0,0,0,0,1037,0
"OTU_1507",0,0,0,6,0,0,25,5,0,0,0,44,3,0,0,0,0,0
"OTU_15073",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"OTU_15077",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"OTU_15301",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"OTU_15362",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"OTU_1539",0,0,0,0,0,0,0,0,0,24,87,0,0,0,0,0,0,0
"OTU_1541",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
"OTU_1552",0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0
"OTU_1561",0,0,0,0,0,3,2,24,31,4,0,0,0,0,0,0,0,0
"OTU_1564",127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_15653",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1570",0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
"OTU_1572",0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0
"OTU_1573",0,0,0,0,0,0,0,0,0,12,0,0,0,6,0,0,0,0
"OTU_1574",0,0,0,0,0,3,4,12,10,5,0,2,0,0,0,0,0,0
"OTU_158",0,988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1581",0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1582",0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1588",0,0,0,0,23,57,0,0,0,0,0,0,0,0,0,26,3,0
"OTU_1598",0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1325,911,2812,0
"OTU_1607",0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0
"OTU_16199",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1624",0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1633",0,0,0,0,0,14,0,0,0,0,0,0,0,0,7,8,3,0
"OTU_1636",0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0
"OTU_164",0,0,0,0,0,615,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_165",0,0,0,0,0,0,233,8,57,0,0,31,0,0,0,0,25,0
"OTU_1656",0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1672",0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1683",0,0,0,296,0,0,0,0,7,0,0,0,0,0,0,0,0,0
"OTU_1684",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13
"OTU_16906",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1695",0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1696",0,0,4,0,0,0,0,0,0,0,0,0,46,4,0,0,0,0
"OTU_1698",0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,49
"OTU_1709",0,0,0,9,0,0,0,43,12,0,0,4,0,0,0,0,0,0
"OTU_1715",0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0
"OTU_1716",7,0,0,113,0,0,6,0,0,0,0,0,0,0,0,0,0,0
"OTU_1718",0,0,0,0,0,36,0,0,5,0,0,0,0,0,0,0,0,0
"OTU_172",0,0,0,1601,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1724",0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,1,9
"OTU_1732",0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1733",0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0
"OTU_1736",0,0,0,0,0,0,7,6,0,8,0,4,0,0,0,0,0,0
"OTU_1743",0,0,0,0,0,3,0,20,16,2,0,0,0,0,0,0,0,0
"OTU_1752",0,0,0,0,0,0,5,0,0,5,84,0,0,0,0,0,0,0
"OTU_1762",0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0
"OTU_1764",0,0,0,0,0,0,0,64,0,0,0,13,0,0,0,0,0,0
"OTU_1767",0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0
"OTU_1784",0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1808",0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1813",0,0,7,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0
"OTU_1818",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
"OTU_1819",0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1820",0,0,0,0,0,0,1,4,8,1,0,0,0,0,0,0,3,24
"OTU_1829",0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0
"OTU_1837",0,0,0,19,0,0,0,11,0,5,6,0,0,4,0,0,0,0
"OTU_1846",0,0,0,0,0,0,0,0,0,0,87,0,0,19,0,0,0,0
"OTU_1851",0,0,0,0,0,0,21,0,0,7,0,0,0,0,0,0,0,0
"OTU_186",388,0,5,240,0,0,27,0,0,63,524,0,0,5,53,0,0,0
"OTU_1873",0,0,0,0,0,3,5,27,11,1,0,0,0,0,0,0,0,0
"OTU_188",0,0,765,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
"OTU_1898",0,0,0,0,83,13,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_190",0,987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1900",0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,8,0,0
"OTU_1902",0,29,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1904",5,0,0,0,0,0,4,0,0,12,0,0,0,0,0,0,0,0
"OTU_1905",0,0,0,0,7,7,0,3,2,4,0,4,0,0,0,0,0,0
"OTU_1906",0,0,0,0,0,0,9,23,24,0,0,0,0,0,0,0,0,0
"OTU_1914",0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0
"OTU_1919",0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0
"OTU_1931",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0
"OTU_1938",3,0,18,29,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"OTU_194",0,22,0,0,205,449,0,0,5,0,0,0,0,0,0,0,0,0
"OTU_1943",0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0
"OTU_1947",0,28,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0
"OTU_195",0,0,0,0,0,0,224,0,0,0,0,32,0,0,0,0,0,0
"OTU_1952",0,0,0,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1958",0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1963",0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
