"","BR","CN","DU","EL","HB","HN","KN","MB","MN","NK","PA","PE","RB","RN","SM","SN","SY","TB"
"OTU_1151",0,0,0,0,0,0,0,19,1,4,0,0,13,0,0,0,0,0
"OTU_1157",0,11,0,0,0,0,0,0,5,0,0,16,0,0,0,0,0,0
"OTU_116",0,0,5,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1160",0,20,0,0,0,0,0,0,2,5,0,4,0,0,0,0,0,0
"OTU_1163",0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,26,1,0
"OTU_1164",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"OTU_1170",0,0,0,0,0,0,0,20,5,0,0,0,0,0,0,0,0,0
"OTU_1171",0,0,0,0,0,0,0,4,4,3,0,7,0,0,0,0,0,0
"OTU_1175",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,9
"OTU_118",0,0,0,0,37,559,0,0,3,0,0,55,0,0,98,224,224,23
"OTU_119",0,68,32,179,123,689,40,0,33,11,5,84,0,34,11,0,0,0
"OTU_1190",0,0,0,0,0,0,5,0,0,13,0,0,0,0,0,0,0,1
"OTU_1195",0,7,0,0,0,0,0,9,1,3,0,0,0,0,6,0,0,0
"OTU_12",0,0,129,5343,0,0,0,0,0,0,0,0,21,51,0,0,0,0
"OTU_120",2,62,7,4,9,38,44,45,283,87,0,0,49,0,4,0,0,0
"OTU_1201",0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
"OTU_1209",0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1213",0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1217",0,0,0,0,6,48,0,0,0,0,0,0,0,0,1,0,1,0
"OTU_122",92,128,192,26,18,20,138,28,38,19,4,66,68,39,15,65,51,0
"OTU_1221",0,8,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0
"OTU_1222",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,5
"OTU_1223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1
"OTU_1227",0,0,13,0,12,20,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1230",3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0
"OTU_1233",0,0,0,0,8,8,0,0,1,0,0,0,0,0,0,0,0,3
"OTU_1235",0,12,0,0,2,6,1,0,5,2,0,0,0,0,0,0,0,0
"OTU_1238",0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1240",0,0,0,0,2,0,0,20,3,0,0,0,0,0,0,0,0,0
"OTU_1245",0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0
"OTU_1246",0,0,21,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0
"OTU_1247",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
"OTU_125",0,0,0,48,0,0,0,0,0,3,23,0,0,0,8,0,20,0
"OTU_1251",1,16,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0
"OTU_1255",0,0,0,0,0,0,0,0,7,0,0,0,10,0,2,0,0,0
"OTU_1260",0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,55,0,0
"OTU_1264",0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1267",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"OTU_1268",0,0,9,0,0,0,0,5,1,2,0,0,7,4,0,0,0,0
"OTU_127",0,0,0,0,0,0,0,0,0,0,0,59,0,0,52,143,111,3
"OTU_1270",0,0,0,0,1,0,0,13,8,0,0,0,0,0,0,0,0,0
"OTU_1272",0,0,0,0,0,0,6,0,10,0,0,0,0,0,0,0,0,0
"OTU_1274",0,0,9,5,0,0,0,0,0,0,0,8,0,1,0,0,0,0
"OTU_1276",0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1284",0,2,9,0,0,0,0,0,0,0,0,0,2,1,0,0,6,0
"OTU_1285",0,0,6,0,0,0,3,0,0,0,0,0,0,0,2,16,0,0
"OTU_1287",0,19,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1288",0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_129",9,96,112,0,15,23,163,53,27,47,15,46,91,0,120,186,46,0
"OTU_1290",0,23,14,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"OTU_1291",0,0,0,0,10,22,0,0,0,0,0,0,0,0,3,0,1,1
"OTU_1292",1,8,0,0,0,0,1,5,1,1,4,0,0,0,0,0,0,0
"OTU_1294",0,0,0,0,0,0,0,16,5,0,0,0,0,0,0,0,0,0
"OTU_1299",0,0,16,0,0,0,0,0,0,0,0,0,23,7,0,0,0,0
"OTU_130",14,0,0,0,270,0,0,0,0,0,319,0,0,0,0,0,0,0
