"","Z.BR1","Z.BR2","Z.BR3","Z.CN1","Z.CN2","Z.CN3","Z.DC1","Z.DC2","Z.DC3","Z.DN1","Z.DU1","Z.DU2","Z.DU3","Z.EL1","Z.EL2","Z.EL3","Z.HB1","Z.HB2","Z.HB3","Z.HN1","Z.HN2","Z.HN3","Z.KN1","Z.KN2","Z.KN3","Z.MB1","Z.MB2","Z.MB3","Z.MN1","Z.MN2","Z.MN3","Z.NK1","Z.NK2","Z.NK3","Z.PA1","Z.PA2","Z.PA3","Z.PE.B","Z.PE1","Z.PE2","Z.PE3","Z.RB1","Z.RB2","Z.RB3","Z.RN1","Z.RN2","Z.RN3","Z.SB1","Z.SB2","Z.SB3","Z.SM1","Z.SM2","Z.SM3","Z.SN1","Z.SN2","Z.SN3","Z.SY1","Z.SY2","Z.SY3","Z.TB1","Z.TB2","Z.TB3"
"Zotu1021",129,148,169,21,15,31,0,0,0,0,5,5,0,18,7,10,6,4,3,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,18,29,32,0,0,0,0,0,0,0,44,67,43,7,4,9,12,17,14,196,206,159,0,0,0,5,20,0
"Zotu1022",0,0,0,37,32,29,0,0,0,0,0,0,0,0,0,0,4,6,11,0,0,0,5,11,4,109,105,94,110,120,134,11,26,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1023",0,0,0,0,0,0,0,0,0,0,344,344,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1024",214,265,374,0,0,0,0,0,0,0,0,0,0,138,72,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1025",0,0,0,0,0,3,0,0,0,0,8,3,5,0,0,0,12,8,6,4,10,7,0,0,0,0,0,0,16,15,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,510,186
"Zotu1026",14,35,30,132,151,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,24,30,39,44,66,38,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,18,11,22,12,11,12,0,0,0,18,7,17
"Zotu1027",0,0,0,0,0,0,0,0,0,0,302,263,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,16,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1028",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,11,5,9,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,77,44,101,115,144,55,52,48,4,9,7,0,15,7
"Zotu103",0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,407,327,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9392,9131,10679,0,0,0,0,0,0,0,0,0,0,84,82,79,230,256,216,0,0,0,26,24,33,786,2171,793
"Zotu1030",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,10,10,6,7,0,5,9,16,14,6,17,13,3,0,0,5,3,11,101,382,128
"Zotu1032",0,0,0,5,13,0,0,0,0,0,0,0,0,0,0,0,42,20,26,12,3,7,0,0,0,9,6,7,8,19,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,128,405,151
"Zotu1033",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,201,318,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1034",0,0,0,32,54,30,0,0,0,0,0,0,0,4,8,5,0,0,0,0,0,0,0,0,0,7,3,5,4,11,3,0,0,0,0,0,0,0,180,157,224,0,0,0,0,0,0,0,0,0,9,8,7,0,0,0,0,0,0,0,0,0
"Zotu1037",146,145,189,37,40,39,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,20,18,20,0,0,0,0,0,4,69,97,74,12,31,7,0,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,18,0
"Zotu1042",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1043",0,0,0,36,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,82,103,110,0,0,0,0,0,0,19,31,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,207,188,0,0,0,0,0,0
"Zotu1044",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,229,181,75,100,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1045",0,0,0,132,185,165,0,0,0,0,3,0,3,0,0,0,12,11,14,6,9,17,0,0,0,0,3,0,11,14,10,10,23,9,9,0,4,0,0,0,7,0,5,9,5,5,0,0,0,0,0,5,7,0,0,4,0,0,0,32,140,45
"Zotu1046",0,0,0,7,14,3,0,0,0,0,0,0,0,7,14,3,0,0,0,0,0,0,0,0,0,0,0,0,5,6,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,3,0,0,0,0,0,0,0,0,0
"Zotu1047",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,9,13,3,3,5,0,0,0,0,0,5,181,260,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"Zotu1050",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,485,152
"Zotu1051",4,0,4,58,57,33,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,6,0,0,0,9,10,4,53,90,95,7,11,8,0,0,0,31,72,62,73,0,0,0,0,5,0,4,0,0,5,0,3,0,0,0,0,0,0,0,0,0
"Zotu1052",0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,55,55,121,144,122,31,33,37,12,16,21,3,0,0
"Zotu1053",0,0,0,0,0,0,0,0,0,0,321,322,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1055",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,9,3,0,7,4,0,4,94,72,72,83,142,162,21,34,32,0,0,0,0,13,0,14,0,0,0,0,0,0,7,0,8,4,0,0,0,0,0,0,0,0,0,0,0
"Zotu1056",0,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,18,13,0,0,0,0,0,0,302,458,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,8,0,0,0,0,0,0,0,0,0
"Zotu1057",0,0,0,110,93,107,0,0,0,0,0,0,0,0,0,0,95,80,71,13,31,30,0,11,8,22,16,14,27,36,62,25,40,52,0,0,0,37,14,17,23,8,0,5,0,0,0,18,20,35,11,8,15,8,4,5,0,5,5,33,84,37
"Zotu1058",0,0,0,319,452,341,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36,43,0,0,0,14,10,6,107,141,114,4,9,4,0,0,0,11,5,7,13,41,39,40,0,3,0,0,0,0,11,11,8,9,4,0,0,0,0,0,0,0
"Zotu1059",204,232,290,0,0,0,0,0,0,0,0,0,0,3,0,0,0,14,6,0,0,0,5,7,4,0,0,0,0,0,0,105,106,65,112,92,190,0,0,0,0,0,0,0,0,0,0,0,0,0,10,24,10,0,0,0,0,0,0,20,65,32
"Zotu106",0,0,0,0,0,0,0,0,0,0,0,0,0,44,27,30,0,0,0,0,0,0,0,0,0,10,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4939,5696,4499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1060",65,48,63,16,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,225,275,261,0,0,0,0,0,5,0,21,21,31,164,210,176,27,35,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1064",0,0,5,4,10,34,0,0,0,0,0,0,0,9,8,0,8,7,3,0,0,0,8,14,11,72,63,40,35,48,61,62,91,43,0,0,0,90,18,27,23,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0
"Zotu1066",0,0,0,0,0,0,0,0,0,0,18,19,20,0,0,0,10,4,4,3,4,5,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,6,0,0,0,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,486,122
"Zotu1068",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,5,0,0,0,0,0,0,0,0,0,9,9,11,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,55,49,37,9,13,12,0,3,3,8,3,6,236,550,199
"Zotu1069",0,0,0,0,0,0,11,12,6,696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu107",48,68,56,1548,1703,1410,141,166,127,31814,182,175,153,592,494,436,229,176,165,66,92,112,193,253,223,291,231,192,644,906,909,142,174,125,90,94,82,8,149,133,157,331,407,416,433,461,381,956,880,910,910,993,987,350,349,302,159,197,207,1207,2792,1150
"Zotu1070",0,0,0,0,0,0,0,0,0,0,255,286,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,10,7,9,5,10,9,5,0,0,18,30,27,0,0,0
"Zotu1072",0,0,0,225,228,270,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,5,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1073",34,52,36,0,0,0,0,0,0,0,0,0,0,81,62,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,49,33,0,0,0,0,0,0,0,0,0,0,0,0,0,51,60,79,0,0,0,0,0,0,0,0,0,5,0,0
"Zotu1074",0,0,0,216,296,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1076",171,235,249,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,7,11,12,0,0,0,0,0,0,20,40,21,17,19,61,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1077",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,5
"Zotu1078",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1079",0,0,0,11,9,7,0,0,0,0,0,0,0,0,3,0,34,50,59,18,31,23,0,0,0,9,25,13,13,22,24,0,0,4,0,0,0,24,4,7,5,0,0,0,0,4,0,19,18,11,9,5,0,0,0,0,0,0,0,60,121,72
"Zotu108",0,0,0,0,0,0,0,0,0,9,4158,4325,3272,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5051,5594,4996,442,477,378,6,22,10,0,0,3,0,0,0,0,5,0,0,0,0
"Zotu1080",0,0,0,336,353,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
