"","Z.BR1","Z.BR2","Z.BR3","Z.CN1","Z.CN2","Z.CN3","Z.DC1","Z.DC2","Z.DC3","Z.DN1","Z.DU1","Z.DU2","Z.DU3","Z.EL1","Z.EL2","Z.EL3","Z.HB1","Z.HB2","Z.HB3","Z.HN1","Z.HN2","Z.HN3","Z.KN1","Z.KN2","Z.KN3","Z.MB1","Z.MB2","Z.MB3","Z.MN1","Z.MN2","Z.MN3","Z.NK1","Z.NK2","Z.NK3","Z.PA1","Z.PA2","Z.PA3","Z.PE.B","Z.PE1","Z.PE2","Z.PE3","Z.RB1","Z.RB2","Z.RB3","Z.RN1","Z.RN2","Z.RN3","Z.SB1","Z.SB2","Z.SB3","Z.SM1","Z.SM2","Z.SM3","Z.SN1","Z.SN2","Z.SN3","Z.SY1","Z.SY2","Z.SY3","Z.TB1","Z.TB2","Z.TB3"
"Zotu1811",37,47,43,48,14,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1812",0,0,0,83,93,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,8,6,0,0,0,0,0,0
"Zotu1814",0,0,0,23,41,38,0,0,0,0,0,0,0,0,0,0,33,23,20,4,6,8,0,0,0,36,26,54,16,41,49,4,14,10,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4
"Zotu1815",0,0,0,11,8,18,0,0,0,0,45,47,35,0,0,0,4,0,0,0,0,0,0,0,0,5,5,8,11,14,10,9,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1817",3,0,9,0,0,0,0,0,0,0,9,4,7,26,14,6,5,3,3,0,0,3,3,4,4,9,6,9,27,33,27,4,5,6,4,4,3,0,0,0,0,10,13,3,9,18,5,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"Zotu1819",0,0,0,0,6,0,0,0,0,0,15,16,18,0,5,4,0,0,3,0,0,0,6,3,0,16,12,8,49,73,58,0,8,4,0,0,0,4,20,20,14,0,5,0,0,0,0,3,0,0,14,6,6,0,0,3,0,0,0,0,0,0
"Zotu182",0,0,8,104,102,127,0,0,0,0,27,35,18,0,0,0,390,252,286,86,97,109,6,0,6,214,164,174,447,579,615,0,4,0,0,0,4,29,31,26,19,1924,2210,2268,85,73,77,1015,963,902,2393,2712,2593,161,184,183,857,1207,1135,3,0,0
"Zotu1820",0,0,0,147,58,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1824",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,23,19,19,79,63,88,0,7,0,3,0,0,12,16,18,0,0,3
"Zotu1825",0,0,0,0,0,0,102,123,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1828",0,0,0,15,8,10,0,0,0,0,5,4,0,9,6,7,18,10,18,3,3,5,6,4,7,18,18,17,29,26,25,3,5,4,0,0,0,13,3,0,0,22,28,35,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,15,10
"Zotu1829",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,30,11,33,10,32,0,0,3,0,0,0,0,0,0,0,0,0,0,35,37,20,0,0,0,0,0,0,0,0,0
"Zotu183",0,0,0,0,0,0,0,0,0,0,3568,3814,2943,1201,821,887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,263,239,2007,2490,1968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1830",73,77,84,4,0,0,0,0,0,0,23,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,4,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3
"Zotu1831",0,0,0,0,0,0,142,147,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1833",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,16,4,0,3,0,0,0,3,0,0,50,62,80,7,8,9,0,0,0,3,4,4,0,22,25,14,11,23,14,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"Zotu1835",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,78,82,0,0,0,0,0,0,0,8,0
"Zotu1836",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,16,5,0,10,0,0,0,0,0,0,53,73,60,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1838",10,13,19,6,9,0,0,0,0,0,0,0,0,8,10,6,0,0,0,0,0,0,0,0,0,5,3,0,4,12,8,21,35,25,34,20,54,0,0,0,0,9,14,14,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,40,18
"Zotu1839",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,90,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu184",17,27,25,0,0,0,0,0,0,0,307,328,214,1607,1090,1030,681,531,515,37,53,52,5,7,12,27,26,23,5,18,14,30,45,31,12,16,0,14,539,502,592,6,0,3,90,108,64,404,329,332,389,451,426,63,77,47,301,452,440,14,36,8
"Zotu1843",0,0,0,14,27,25,0,0,0,0,3,0,0,0,0,0,6,6,5,0,0,0,0,0,0,9,5,5,10,11,22,5,3,8,0,0,3,4,14,5,14,17,22,16,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"Zotu1845",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,53,33,37,57,50,41,7,8,3,4,0,6,0,0,0
"Zotu1846",0,0,0,0,0,0,0,0,0,0,0,0,0,13,26,15,0,0,0,0,0,0,0,0,3,34,20,28,10,13,24,0,4,0,5,3,3,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1847",0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1849",0,0,0,23,36,24,0,0,0,0,0,0,0,14,17,11,13,5,7,0,3,3,0,0,0,9,0,0,0,3,3,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,6,11,6,16,13,5,5,5,3,0,0,0,19,39,7
"Zotu185",0,0,0,6104,6788,4770,0,0,0,0,0,0,0,5,0,0,0,0,0,145,175,232,0,0,0,0,0,0,60,69,75,0,4,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,10,0,0,0,0,0,0
"Zotu1851",0,0,0,95,123,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1852",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,4,0,0,29,27,16,54,52,62,13,9,7,0,0,0,18,0,0,0,12,16,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1853",0,0,0,21,14,11,0,0,0,0,0,0,0,4,5,6,8,8,7,4,3,0,0,0,0,19,7,9,4,0,3,7,6,0,0,0,0,4,4,7,5,0,0,4,0,0,5,4,4,3,0,0,9,4,4,12,0,3,3,17,62,16
"Zotu1854",0,0,0,169,174,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,3,0,0,0,0,0,29,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1856",0,0,0,13,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,107,93,112,0,0,0,6,4,7,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1857",0,0,0,81,115,49,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,41,78,74,30,21,33,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,14,18,0
"Zotu1859",0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,69,44,55,25,28,39,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7
"Zotu1860",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,153,128,0,0,0,0,0,0,0,0,0
"Zotu1861",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,73,94,82,0,0,0,0,0,0
"Zotu1862",0,3,4,116,148,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,27,38,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1867",3,3,0,0,0,0,0,0,0,0,19,28,13,5,13,5,39,23,33,0,0,0,20,27,25,15,13,19,27,35,30,4,0,3,8,16,22,0,17,5,13,40,57,43,8,13,10,3,10,5,0,0,5,0,4,0,12,28,42,0,0,0
"Zotu1868",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu187",0,6,3,0,8,0,0,0,0,0,49,50,28,6,0,0,10,10,5,0,0,6,5,0,6,53,24,40,45,73,57,20,18,25,0,0,0,185,184,181,189,34,31,34,24,30,16,471,389,382,578,675,569,135,152,114,2782,3729,3599,0,0,0
"Zotu1870",6,8,12,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,79,98,48,0,0,3,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1871",0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,28,23,32,11,10,9,0,9,9,8,5,7,36,49,56,38,28,20,8,3,0,0,0,4,0,0,0,0,14,10,18,7,0,0,0,3,0,0,0,0,0,0,3,0,0,0
"Zotu1872",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403,363,437,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"Zotu1874",0,0,0,0,0,0,122,121,83,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1877",0,0,0,55,82,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,27,19,0,0,0,0,0,0,4,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1879",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,11,45,66,73,50,55,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu188",837,920,1132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2955,2498,3030,0,0,0,0,0,0,0,200,222,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1880",0,0,0,4,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,62,59,75,0,0,0,16,15,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1881",8,9,11,27,17,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,50,38,0,0,0,0,3,0,12,0,0,0,0,0,0,4,0,0,0,0,0,12,14,6,0,0,0,0,0,0
"Zotu1884",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,11,0,8,4,8,6,4,6,7,0,0,0,0,0,0,0,28,28,38,0,0,4,5,3,3,10,17,13,0,0,4,0,0,0,0,0,0
"Zotu1888",0,0,0,59,76,91,0,0,0,0,10,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,8,0,0,0,0,0,0,0,0,0,9,11,7,0,0,0,0,0,0
"Zotu1889",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,54,30,4,6,0,28,25,48,9,27,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu189",21,24,30,0,0,0,0,0,0,0,64,65,50,235,195,179,0,0,0,0,0,0,10,20,15,56,49,30,68,110,102,12,37,23,40,57,64,7,4108,3692,4848,54,45,57,44,50,40,1369,1161,1249,7,7,9,0,0,3,8,21,12,9,4,10
"Zotu1895",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,48,44,27,35,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1896",0,0,0,181,231,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1897",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,110,120,95,3,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1898",0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,10,13,5,9,14,0,0,0,0,0,0,0,46,35,43,8,19,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1899",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,93,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu19",15839,18422,21634,130,90,121,0,0,0,0,204,244,136,28310,20185,18766,3923,3039,3487,582,739,876,1114,1248,1095,605,443,437,826,1065,1093,6853,8877,6545,15118,14733,17125,182,2448,2098,2740,599,671,591,4820,5651,4351,33739,30969,30565,6554,7351,6952,235,236,199,860,1179,1187,1549,3716,1255
"Zotu190",0,0,0,0,0,0,0,0,0,3,4359,4771,3243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1902",0,0,0,21,20,8,0,0,0,0,0,0,0,39,35,18,0,5,6,0,0,3,0,0,0,0,0,0,4,0,10,0,0,0,0,4,0,5,4,5,8,0,0,0,38,13,15,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1905",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,118,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1906",0,3,0,8,5,0,0,0,0,0,17,16,18,3,5,0,0,0,0,0,0,0,0,0,0,5,3,3,0,0,12,0,3,0,3,14,3,0,21,20,16,51,49,52,6,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1907",0,0,0,0,0,0,98,112,53,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1908",0,0,0,6,9,0,0,0,0,0,65,69,48,0,0,0,5,11,6,5,5,0,0,0,0,5,8,3,5,3,4,3,5,0,0,0,0,0,4,0,4,19,19,15,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,17,37,15
"Zotu1909",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,72,74,12,21,10,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu191",5,9,3,26,26,33,0,0,0,0,420,455,338,24,10,9,1017,903,965,91,102,113,11,24,20,336,303,287,889,1127,1305,104,146,110,174,188,174,9,102,105,138,20,19,22,6,4,0,489,419,431,862,980,976,86,107,96,376,571,582,1119,2730,1107
"Zotu1910",0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,91,100,0,0,0,0,0,0,5,14,3,0,0,0,0,0,0,0,0,0
"Zotu1911",0,0,0,12,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,7,5,5,0,0,0,8,38,47,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1914",0,0,0,0,0,0,56,71,48,136,0,0,0,24,33,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1915",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,3,58,142,65
"Zotu1917",0,0,0,0,0,0,0,0,0,0,86,105,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,7,0,0,0,3,3,0,0,0,0,0,0
"Zotu192",25,34,29,5,11,0,0,0,0,7050,9,4,9,16,13,12,1494,1066,1183,38,58,68,7,7,8,9,4,9,18,15,29,8,8,11,10,19,12,0,0,0,0,7,7,6,12,26,20,202,161,169,39,39,40,0,4,3,41,59,56,0,6,0
"Zotu1921",0,0,4,10,4,9,0,0,0,0,20,20,23,13,6,4,0,0,0,0,0,3,0,0,0,0,5,0,4,4,0,0,0,0,4,7,5,0,0,0,0,9,0,8,0,0,0,8,9,10,19,18,10,11,8,4,0,0,0,3,6,6
"Zotu1922",0,0,0,80,87,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1924",0,0,0,0,0,0,0,0,0,170,30,17,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1925",0,0,0,75,65,58,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"Zotu1927",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,69,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1928",39,55,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,22,23,7,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1929",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,126,108,92,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"Zotu193",0,0,0,0,0,0,0,0,0,0,0,0,0,66,57,38,1473,1183,1294,0,0,0,34,31,32,0,0,3,0,0,0,3,0,0,0,0,0,0,566,580,616,0,0,0,0,0,0,494,476,441,459,434,611,0,0,0,50,81,72,604,1561,543
"Zotu1930",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,18,34,48,60,0,0,0,0,0,0,11,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1932",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,22,9,10,10,17,3,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,25,15,17,12,41,26,5,7,0,0,0,0,0,0,0
"Zotu1937",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,10,8,6,7,8,0,0,0,5,8,5,12,9,11,0,0,0,0,0,0,0,4,3,4,0,0,0,0,0,0,0,0,0,9,11,11,15,8,0,21,27,26,0,0,0
"Zotu1938",0,0,0,4,9,3,0,0,0,0,5,5,0,0,0,3,4,4,3,0,4,4,0,0,0,8,11,10,0,0,3,0,0,0,0,0,0,0,0,0,0,5,4,3,4,6,4,10,5,12,9,24,16,12,11,12,4,3,0,0,0,0
"Zotu194",0,0,0,0,8,0,0,0,0,0,0,0,0,8,4,0,12,14,15,5,6,5,0,0,0,13,22,11,30,36,21,0,3,5,0,0,0,0,4,3,4,3,0,3,6,8,5,12,4,4,4,0,0,0,0,0,0,0,0,2871,7073,2800
"Zotu1940",0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,29,12,23,13,16,13,3,8,3,59,46,42,27,14,37,9,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,12,0,11,0,0,3,0,0,0,4,14,0
"Zotu1942",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,63,50,27,42,29,4,15,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1943",0,0,0,10,22,4,0,0,0,0,3,0,0,0,0,3,13,12,12,10,9,14,0,0,0,16,10,8,9,13,6,0,8,0,0,0,0,7,17,11,21,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,7
"Zotu1948",0,0,3,0,0,0,0,0,0,0,4,0,0,93,75,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu195",53,64,60,4,10,8,0,0,0,5,463,436,353,8,3,0,137,79,105,7,21,9,64,59,64,84,52,64,98,111,129,6,13,5,1664,1654,1783,144,451,375,456,3754,4236,4035,3,0,3,53,55,51,197,233,203,20,19,14,32,31,33,21,106,36
"Zotu1950",0,0,0,0,0,0,86,87,53,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1954",0,0,0,82,69,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,3,0,0,0,0,0,0,0,0,0
"Zotu1955",26,28,33,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,4,5,0,0,0,0,0,3,5,13,9,100,133,155,0,0,0,0,0,0,0,5,3,8,12,9,5,0,0,5,0,0,0,0,0,4,0,0,0
"Zotu1956",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,90,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu196",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4447,3701,3428,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1960",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1962",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,26,26,0,0,0,64,87,80,18,30,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1963",15,18,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,52,36,83,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1964",0,0,0,0,0,0,0,0,0,0,22,20,12,0,0,0,3,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,116,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1965",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,18,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1968",0,0,0,0,0,0,89,84,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
