"","C1","C2","C3","C4","C5","C6","C7","C8","C9","NTC","PCR1","X","Kingdom","Phylum","Class","Order","Family","Genus","NA"
"OTU_290",0,0,0,0,0,0,0,0,0,5,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_292",2,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_2924",0,37,0,0,46,34,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_293",0,0,0,0,0,0,0,0,0,6,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_294",0,0,0,0,0,0,0,0,0,10,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_2952",0,0,0,3,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_2992",27,8,68,26,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_3",0,0,62,0,0,0,40,0,0,10,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_3016",0,0,83,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_303",0,0,0,0,0,0,11,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_3100",0,0,28,76,11,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_313",0,0,4,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_32",0,25,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_3263",0,0,0,103,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_329",0,0,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_3294",0,0,27,43,0,22,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_330",0,0,0,0,0,0,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_3411",0,0,0,86,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_3412",0,0,0,0,86,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_343",0,0,301,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_3433",0,0,22,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_3434",0,0,41,61,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_3530",0,0,88,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_3531",0,0,54,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_3585",0,97,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_36",0,0,0,0,0,0,0,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_3636",0,0,0,0,0,0,76,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_37",0,0,11,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_3731",0,0,0,44,0,0,7,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_3756",0,0,72,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_379",0,0,0,0,0,0,9,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_39",0,0,26,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_3907",0,0,73,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_3908",0,0,92,13,0,0,12,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_3910",0,0,0,6,0,0,28,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_3917",0,0,0,0,0,0,0,0,0,53,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_3940",0,0,0,22,27,29,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_4",0,10,0,0,0,0,0,0,0,84,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_40",0,0,15,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_404",0,12,21,207,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_4094",0,0,40,0,0,0,0,0,0,45,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_4136",0,0,96,4,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_4137",0,0,0,0,0,82,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_4179",20,0,0,0,0,3,20,6,10,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_4180",0,0,0,132,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_4181",0,0,0,38,12,9,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_4182",0,0,0,0,0,20,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_4218",0,4,0,8,0,0,32,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_4325",0,0,55,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_4326",0,0,0,37,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_4416",0,22,0,31,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_4417",0,0,53,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_4418",0,0,0,25,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_4459",0,0,60,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_4460",0,0,17,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_4489",0,0,0,0,0,0,0,0,0,52,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_4507",0,0,0,2,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_456",0,0,0,4,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_4569",0,0,42,12,0,0,10,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_4570",0,0,0,80,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_46",0,0,3,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_4628",0,11,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_4629",0,0,0,21,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_4732",0,0,0,0,0,0,0,17,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_4798",0,0,0,46,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_4853",0,0,45,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_4854",0,0,45,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_49",0,0,0,0,0,0,0,0,0,5,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_4962",0,0,28,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_5034",0,0,78,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_5037",0,0,0,0,0,42,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_51",0,0,7,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_5152",0,40,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_5154",0,0,40,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_519",0,92,88,1082,0,0,0,0,0,89,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_5223",0,39,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_53",0,0,3,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_5382",0,0,37,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_5383",0,0,0,37,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_54",0,0,0,0,0,0,58,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_55",0,0,0,0,8,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_5551",0,0,35,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_56",0,0,51,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_560",0,0,417,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_5662",0,22,0,0,0,18,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_5663",0,0,34,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_5664",0,0,0,0,0,0,34,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_5665",0,0,0,0,0,0,0,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_5752",0,0,33,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_5753",0,0,0,63,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_5754",0,0,0,20,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_5755",0,0,0,8,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_5756",0,0,0,0,0,0,48,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_5757",0,0,0,0,0,0,9,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_579",0,0,168,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_580",0,0,155,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_5861",0,32,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_5862",0,0,76,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_5863",0,0,32,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_5864",0,0,0,32,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_5865",0,0,0,15,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_5866",0,0,0,0,0,0,0,13,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_5951",0,0,34,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_5952",0,0,19,0,0,0,10,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_5953",0,0,14,0,0,0,17,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_5954",0,0,0,31,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_5955",0,0,0,12,0,0,0,17,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_6",0,0,68,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_6061",0,0,0,0,0,0,0,13,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_61",0,0,0,0,0,0,0,0,0,8,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_6174",0,0,14,15,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_6175",0,0,0,10,0,0,0,0,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_627",0,0,0,6,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_6290",0,0,28,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_6292",0,0,4,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_6293",0,0,0,28,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_6294",0,0,0,0,12,16,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_639",0,0,0,19,0,32,5,31,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_6427",0,0,0,8,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_6428",0,0,0,0,0,0,27,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_6533",0,0,26,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_6534",0,0,5,0,18,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_66",0,0,0,0,0,0,0,0,0,22,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_6649",25,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_6650",0,25,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_6651",0,0,71,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_6652",0,0,37,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_6653",0,0,25,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_6654",0,0,0,2,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_6655",0,0,0,0,0,0,25,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_6656",0,0,0,0,0,0,25,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_6657",0,0,0,0,0,0,11,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_677",0,0,1149,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_6795",0,0,0,0,0,0,41,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_69",0,0,7,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_6953",0,0,23,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_7",0,0,22,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_702",0,0,0,0,0,0,7,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_703",0,14,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_705",0,0,7,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_7118",0,0,22,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_7119",0,0,37,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_7121",0,0,0,0,0,0,22,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_7122",0,0,0,0,0,0,22,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_7123",0,0,0,0,0,0,22,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_715",0,0,0,5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_72",0,0,0,0,0,0,10,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_726",0,149,689,652,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_7289",7,0,0,24,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_7290",0,21,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_7291",0,21,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_7292",0,0,31,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_7293",0,0,0,21,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_7294",0,0,0,21,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_7295",0,0,0,0,0,0,21,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_73",0,0,10,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_7474",0,0,20,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_7475",0,0,0,26,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_7476",0,0,0,20,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_7477",0,0,0,20,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_7478",0,0,0,9,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_7479",0,0,0,0,13,0,0,0,7,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_7480",0,0,0,0,0,0,0,20,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_7481",0,0,0,0,0,0,0,0,20,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_75",0,0,0,0,0,0,41,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_7681",0,0,35,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_7682",0,0,23,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_7683",0,0,0,19,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_7684",0,0,0,0,0,0,19,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_7901",0,0,18,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_7902",0,0,35,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_7903",0,0,25,7,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_7904",0,0,7,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_7905",0,0,0,18,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_7908",0,0,0,18,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_7909",0,0,0,4,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_7910",0,0,0,0,0,0,18,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_8",0,0,16,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_812",0,1290,0,18,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_8163",0,6,0,17,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_8164",0,0,17,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_8167",0,0,17,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_8172",0,0,0,17,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_8173",0,0,0,0,17,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_8174",0,0,0,0,17,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_8175",0,0,0,0,0,0,43,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_8177",0,0,0,0,0,0,22,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_8178",0,0,0,0,0,0,0,10,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_836",0,0,0,1157,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_84",0,0,17,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_8430",16,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_8431",16,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_8432",0,0,16,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_8434",0,0,7,9,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_8436",0,0,0,16,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_8437",0,0,0,26,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_8438",0,0,0,16,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_8439",0,0,0,0,16,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_8440",0,0,0,0,0,0,16,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_8441",0,0,0,0,0,0,16,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_852",0,0,0,9,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_8744",0,3,0,0,0,12,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_8746",0,0,15,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_8747",0,0,30,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_8748",0,0,15,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_8749",0,0,15,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_8750",0,0,15,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_8751",0,0,23,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_8753",0,0,15,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_8754",0,0,0,15,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_8755",0,0,0,15,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_8756",0,0,0,3,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_8758",0,0,0,0,0,0,15,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_8760",0,0,0,0,0,0,15,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_8761",0,0,0,0,0,0,15,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_891",0,0,7,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_895",0,0,0,0,0,0,8,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_91",0,0,46,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_9100",0,14,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_9101",0,14,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_9102",0,14,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_9103",0,0,14,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_9104",0,0,26,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_9105",0,0,14,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_9106",0,0,14,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_9107",0,0,14,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_9108",0,0,14,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_9110",0,0,0,14,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_9111",0,0,0,14,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_9112",0,0,0,17,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_9113",0,0,0,14,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_9114",0,0,0,0,9,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_9115",0,0,0,0,0,0,14,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_9116",0,0,0,0,0,0,14,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_9117",0,0,0,0,0,0,18,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_9118",0,0,0,0,0,0,14,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_9119",0,0,0,0,0,0,0,14,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_912",0,0,725,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_920",0,0,0,29,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_925",0,48,553,60,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_93",0,0,0,0,0,0,0,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_94",0,0,0,0,0,0,0,0,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_9483",0,13,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_9485",0,0,13,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_9488",0,0,15,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_9489",0,0,13,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_949",0,0,0,0,0,0,7,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_9490",0,0,19,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_9491",0,0,13,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_9493",0,0,0,0,13,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_9494",0,0,0,0,13,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_9495",0,0,0,0,0,13,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_9496",0,0,0,0,0,0,13,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_9497",0,0,0,0,0,0,13,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_9498",0,0,0,0,0,0,0,25,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_95",0,0,0,9,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_9876",0,12,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_9877",0,0,12,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_9878",0,0,12,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
