"","C1","C2","C3","C4","C5","C6","C7","C8","C9","NTC","PCR1","X","Kingdom","Phylum","Class","Order","Family","Genus","NA"
"OTU_12029",0,0,0,15,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_12030",0,0,0,8,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_12031",0,0,0,8,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_12032",0,0,0,8,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_12033",0,0,0,0,8,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_12034",0,0,0,0,0,8,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_12035",0,0,0,0,0,0,8,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_12036",0,0,0,0,0,0,8,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_12037",0,0,0,0,0,0,8,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_12038",0,0,0,0,0,0,8,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_12039",0,0,0,0,0,0,0,0,8,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_1219",0,0,0,0,0,0,7,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_1221",0,145,80,211,0,0,66,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_1223",0,81,77,363,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_123",0,0,0,0,0,0,0,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_1259",0,8,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_12754",7,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_12758",0,0,7,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_12759",0,0,7,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_12763",0,0,7,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_12765",0,0,7,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_12766",0,0,0,7,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_12767",0,0,0,7,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_12769",0,0,0,7,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_12770",0,0,0,7,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_12771",0,0,0,7,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_12772",0,0,0,7,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_12774",0,0,0,7,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_12775",0,0,0,7,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_12776",0,0,0,7,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_12778",0,0,0,7,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_12779",0,0,0,0,7,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_12780",0,0,0,0,0,7,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_12782",0,0,0,0,0,0,7,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_12784",0,0,0,0,0,0,7,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_12785",0,0,0,0,0,0,7,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_12786",0,0,0,0,0,0,7,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_12787",0,0,0,0,0,0,7,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
