"","ID","Nobs","Pperm.coast","Pdisp","DistDecayPsiteadd","DistDecayPsiteInt"
"Proteobacteria","Proteobacteria","657","0.001","0.3009","0.40366","0.21815"
"Cyanobacteria","Cyanobacteria","239","0.001","0.0525","0.06046","0.47062"
"Bacteroidetes","Bacteroidetes","337","0.002","0.4802","0.9558","0.50477"
"Actinobacteria","Actinobacteria","34","0.001","0.385","0.78995","0.62312"
"Verrucomicrobia","Verrucomicrobia","41","0.001","0.071","0.10491","0.33817"
"Epsilonbacteraeota","Epsilonbacteraeota","35","0.001","0.0686","0.07739","0.05478"
"Firmicutes","Firmicutes","21","0.001","0.397","0.14654","0.05149"
