"","SST R","SST p Value","SSS R","SSS p Value","ChlA R","ChlA p Value","Impact R","Impact p Value"
"mantel.p.COI.out",0.323,0.003,0.002,0.48,0.077,0.227,0.357,0.003
"mantel.c.COI.out",0.157,0.02,0.005,0.532,0.058,0.268,0.236,0.007
"mantel.p.18S.out",0.155,0.05,-0.039,0.633,0.156,0.044,0.393,0.001
"mantel.c.18S.out",0.171,0.022,0.042,0.354,0.148,0.066,0.289,0.003
"mantel.p.ProK.out",0.304,0.006,-0.133,0.868,0.021,0.409,0.492,0.001
"mantel.c.ProK.out",0.207,0.009,0.002,0.519,0.062,0.298,0.325,0.001
